"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","faucet","","4","4","0","0","0"
"Nethereum","Common","","0","0","4","0","0"
"","transaction","","5","5","0","0","0"
"web3j","Transaction","Create raw transaction","0","0","0","1","0"
"","deploy contract","","3","3","0","0","0"
"web3j","Externally Owned Accounts","Transfer","0","0","0","2","0"
"web3j","Smart contracts","Load smart contracts","0","0","0","1","0"
"web3j","Events","Read event logs","0","0","0","1","0"
"Kotlin frameworks","KEthereum","Connection","0","0","2","0","0"
"go-ethereum","Address","Address validation","0","0","0","3","0"
"web3j","Blocks","Query Block","0","0","0","2","0"
"","","","0","1","1","0","0"
"web3j","Events","Read ERC20 token event logs","0","0","0","1","0"
"web3j","Smart contracts","Query smart contracts","0","0","0","2","0"
"web3j","Smart contracts","Deploy smart contracts","0","0","0","1","0"
"Nethereum","Blocks","","1","0","1","0","0"
"web3j","Events","Subscription to event logs","0","0","0","1","0"
"web3j","Events","Read 0x protocol event logs","0","0","0","1","0"
"web3j","Externally Owned Accounts","Wallet","0","0","0","1","0"
"web3j","Smart contracts","Read smart contract bytecode","0","0","0","1","0"
"web3j","Transaction","Send raw transaction","0","0","0","1","0"
"web3j","Common","allure story","0","0","1","0","0"
"web3j","Common","Connection","0","0","1","0","0"
"web3j","Events","Subscription to new blocks","0","0","0","1","0"
"web3j","Smart contracts","Write to smart contracts","0","0","0","1","0"
