"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","faucet","","3","4","1","0","0"
"go temporary tests","","go temporary tests","0","0","7","0","0"
"Nethereum","","","0","0","4","0","0"
"","deploy contract","","3","3","0","0","0"
"go-ethereum","","go-ethereum","0","0","2","0","0"
"","","","1","1","2","0","0"
"Java frameworks","web3j","allure story","0","0","1","0","0"
"","transaction","","5","5","0","0","0"
"Kotlin frameworks","KEthereum","Connection","0","0","2","0","0"
"Java frameworks","web3j","Connection","0","0","1","0","0"
